journal_key,period,semantic_family,n_articles_refined,n_family_hit_rows_refined,n_articles_group,pct_articles_group_refined
psychoanalytic_psychotherapy,1990-2009,drive_conflict_defense,96,96,399,24.0602
psychoanalytic_psychotherapy,1990-2009,dream_fantasy_unconscious,27,27,399,6.7669
psychoanalytic_psychotherapy,1990-2009,ego_self_narcissism,40,40,399,10.0251
psychoanalytic_psychotherapy,1990-2009,object_relations,71,71,399,17.7945
psychoanalytic_psychotherapy,1990-2009,kleinian_bionian,35,35,399,8.7719
psychoanalytic_psychotherapy,1990-2009,winnicottian_environment_holding,7,7,399,1.7544
psychoanalytic_psychotherapy,1990-2009,attachment_development_infant,78,78,399,19.5489
psychoanalytic_psychotherapy,1990-2009,transference_countertransference,70,70,399,17.5439
psychoanalytic_psychotherapy,1990-2009,technique_interpretation_process,40,40,399,10.0251
psychoanalytic_psychotherapy,1990-2009,relational_intersubjective_field,59,59,399,14.787
psychoanalytic_psychotherapy,1990-2009,trauma_dissociation_affect_regulation,44,44,399,11.0276
psychoanalytic_psychotherapy,1990-2009,psychosis_borderline_primitive_states,59,59,399,14.787
psychoanalytic_psychotherapy,1990-2009,body_sexuality_gender,31,31,399,7.7694
psychoanalytic_psychotherapy,1990-2009,language_narrative_symbolization,24,24,399,6.015
psychoanalytic_psychotherapy,1990-2009,culture_race_social_ethics,25,25,399,6.2657
psychoanalytic_psychotherapy,1990-2009,empirical_research_measurement,65,65,399,16.2907
psychoanalytic_psychotherapy,1990-2009,history_theory_schools,7,7,399,1.7544
psychoanalytic_psychotherapy,2010-2025,drive_conflict_defense,85,85,432,19.6759
psychoanalytic_psychotherapy,2010-2025,dream_fantasy_unconscious,22,22,432,5.0926
psychoanalytic_psychotherapy,2010-2025,ego_self_narcissism,38,38,432,8.7963
psychoanalytic_psychotherapy,2010-2025,object_relations,53,53,432,12.2685
psychoanalytic_psychotherapy,2010-2025,kleinian_bionian,32,32,432,7.4074
psychoanalytic_psychotherapy,2010-2025,winnicottian_environment_holding,2,2,432,0.463
psychoanalytic_psychotherapy,2010-2025,attachment_development_infant,89,89,432,20.6019
psychoanalytic_psychotherapy,2010-2025,transference_countertransference,52,52,432,12.037
psychoanalytic_psychotherapy,2010-2025,technique_interpretation_process,50,50,432,11.5741
psychoanalytic_psychotherapy,2010-2025,relational_intersubjective_field,122,122,432,28.2407
psychoanalytic_psychotherapy,2010-2025,trauma_dissociation_affect_regulation,78,78,432,18.0556
psychoanalytic_psychotherapy,2010-2025,psychosis_borderline_primitive_states,46,46,432,10.6481
psychoanalytic_psychotherapy,2010-2025,body_sexuality_gender,49,49,432,11.3426
psychoanalytic_psychotherapy,2010-2025,language_narrative_symbolization,36,36,432,8.3333
psychoanalytic_psychotherapy,2010-2025,culture_race_social_ethics,66,66,432,15.2778
psychoanalytic_psychotherapy,2010-2025,empirical_research_measurement,126,126,432,29.1667
psychoanalytic_psychotherapy,2010-2025,history_theory_schools,9,9,432,2.0833
