rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family,term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,audit_scope,audit_stage,manual_override,manual_override_note
127,psychosis,1,102,33,3.793,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,psychosis,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
128,assessment,1,102,53,6.092,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,assessment,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
129,psychology,1,102,70,8.046,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,psychology,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
130,however,1,99,95,10.92,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,however,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
131,sense,1,99,78,8.966,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,sense,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
132,factors,1,99,68,7.816,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,factors,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
133,further,1,99,91,10.46,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,further,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
134,states,1,98,60,6.897,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,states,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
135,outcome,1,98,58,6.667,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,outcome,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
136,com,1,98,97,11.149,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,com,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
137,nature,1,97,78,8.966,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,nature,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
139,family,1,97,56,6.437,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,family,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
140,borderline,1,96,43,4.943,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,borderline,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
141,anxiety,1,96,74,8.506,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,anxiety,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
142,place,1,95,78,8.966,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,place,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
143,after,1,95,75,8.621,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,after,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
144,object,1,94,62,7.126,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,object_relations,object,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
145,org,1,93,48,5.517,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,org,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
146,young,1,92,50,5.747,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,young,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
147,brief,1,92,51,5.862,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,brief,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
148,ideas,1,92,70,8.046,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,ideas,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
150,professional,1,91,55,6.322,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,professional,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
