term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,manual_override,manual_override_note
counselling service,final_keep,kept_after_final_cleanup,True,,
countertransference,final_keep,protected_psychoanalytic_term,True,,
course,final_keep,kept_after_final_cleanup,True,,
covid,final_keep,kept_after_final_cleanup,True,,
covid pandemic,final_keep,kept_after_final_cleanup,True,,
criteria below,final_keep,kept_after_final_cleanup,True,,
criteria returned,final_keep,kept_after_final_cleanup,True,,
cui,final_keep,kept_after_final_cleanup,True,,
culo,final_keep,kept_after_final_cleanup,True,,
cultural,final_keep,kept_after_final_cleanup,True,,
culture,final_keep,protected_psychoanalytic_term,True,,
cumc columbia,final_keep,kept_after_final_cleanup,True,,
dana birksted-breen,final_keep,kept_after_final_cleanup,True,,
danielle quinodoz,final_keep,kept_after_final_cleanup,True,,
dass,final_keep,kept_after_final_cleanup,True,,
dass die,final_keep,kept_after_final_cleanup,True,,
david tuckett,final_keep,kept_after_final_cleanup,True,,
davies,final_keep,kept_after_final_cleanup,True,,
davies jody,final_keep,kept_after_final_cleanup,True,,
day,final_keep,kept_after_final_cleanup,True,,
deal,final_keep,kept_after_final_cleanup,True,,
death,final_keep,protected_psychoanalytic_term,True,,
death drive,final_keep,kept_after_final_cleanup,True,,
death instinct,final_keep,kept_after_final_cleanup,True,,
deborah cabaniss,final_keep,kept_after_final_cleanup,True,,
december,final_keep,kept_after_final_cleanup,True,,
december submitted,final_keep,kept_after_final_cleanup,True,,
defence,final_keep,protected_psychoanalytic_term,True,,
defence against,final_keep,kept_after_final_cleanup,True,,
defence mechanism,final_keep,kept_after_final_cleanup,True,,
defence mechanisms,final_keep,kept_after_final_cleanup,True,,
defences against,final_keep,kept_after_final_cleanup,True,,
defense,final_keep,protected_psychoanalytic_term,True,,
defense against,final_keep,kept_after_final_cleanup,True,,
defense mechanisms,final_keep,kept_after_final_cleanup,True,,
defenses,final_keep,kept_after_final_cleanup,True,,
defenses against,final_keep,kept_after_final_cleanup,True,,
defensive,final_keep,kept_after_final_cleanup,True,,
