term,source_table,term_col,journal_key,period,count,doc_count,doc_pct,keyness_score,pct_point_lift,candidate_review_status,suggested_semantic_family,manual_note,term_norm,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
attention,global_core_terms_after_audit,,,,1238,1083,8.9033,,,pending,,,attention,attention,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,attention,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
capacity,global_core_terms_after_audit,,,,1237,898,7.3824,,,pending,,,capacity,capacity,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,capacity,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
course,global_core_terms_after_audit,,,,1234,1055,8.6731,,,pending,,,course,course,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,course,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
character,global_core_terms_after_audit,,,,1231,696,5.7218,,,pending,,,character,character,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,character,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
people,global_core_terms_after_audit,,,,1229,864,7.1029,,,pending,,,people,people,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,people,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
international,global_core_terms_after_audit,,,,1220,760,6.2479,,,pending,,,international,international,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,international,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
functioning,global_core_terms_after_audit,,,,1216,781,6.4206,,,pending,,,functioning,functioning,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,functioning,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
primary,global_core_terms_after_audit,,,,1200,750,6.1657,,,pending,,,primary,primary,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,primary,final_exclude,final_stop_term,False,discriminative_candidate_terms
relationships,global_core_terms_after_audit,,,,1200,806,6.6261,,,pending,,,relationships,relationships,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,relationships,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
order,global_core_terms_after_audit,,,,1199,1043,8.5745,,,pending,,,order,order,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,order,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
