rank_within_group,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
27,1920-1945,obsessional neurosis,terms_bigram,686,11478,18,34,2.6239,0.2962,2.3277,8.9598,6.853735,obsessional neurosis,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,obsessional neurosis,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
28,1920-1945,early childhood,terms_bigram,686,11478,22,121,3.207,1.0542,2.1528,3.0942,6.750112,early childhood,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,early childhood,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
29,1920-1945,douglas bryan,terms_bigram,686,11478,16,0,2.3324,0.0,2.3324,551.393,6.608078,douglas bryan,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,douglas bryan,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
30,1920-1945,part played,terms_bigram,686,11478,17,24,2.4781,0.2091,2.269,11.9349,6.558365,part played,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,part played,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
31,1920-1945,very little,terms_bigram,686,11478,17,36,2.4781,0.3136,2.1645,8.0111,6.256183,very little,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,very little,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
32,1920-1945,men women,terms_bigram,686,11478,18,58,2.6239,0.5053,2.1186,5.284,6.238065,men women,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,men women,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
33,1920-1945,karl abraham,terms_bigram,686,11478,16,17,2.3324,0.1481,2.1843,15.7541,6.188452,karl abraham,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,karl abraham,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
35,1920-1945,oberndorf oberndorf,terms_bigram,686,11478,15,3,2.1866,0.0261,2.1605,73.9965,5.990045,oberndorf oberndorf,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,oberndorf oberndorf,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
36,1920-1945,freud vienna,terms_bigram,686,11478,15,8,2.1866,0.0697,2.1169,30.4691,5.869266,freud vienna,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,freud vienna,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
37,1920-1945,otto fenichel,terms_bigram,686,11478,15,9,2.1866,0.0784,2.1082,27.2619,5.845111,otto fenichel,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,otto fenichel,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
38,1920-1945,sense guilt,terms_bigram,686,11478,16,31,2.3324,0.2701,2.0623,8.7523,5.842878,sense guilt,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,sense guilt,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
39,1920-1945,well known,terms_bigram,686,11478,19,96,2.7697,0.8364,1.9333,3.3764,5.791639,well known,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,well known,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
40,1920-1945,sexual life,terms_bigram,686,11478,15,17,2.1866,0.1481,2.0385,14.7993,5.651865,sexual life,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,sexual life,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
41,1920-1945,abraham karl,terms_bigram,686,11478,14,1,2.0408,0.0087,2.0321,161.5192,5.50304,abraham karl,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,abraham karl,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
42,1920-1945,little girl,terms_bigram,686,11478,15,35,2.1866,0.3049,1.8817,7.2954,5.217063,little girl,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,little girl,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
43,1920-1945,any rate,terms_bigram,686,11478,14,20,2.0408,0.1742,1.8666,11.8185,5.054765,any rate,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,any rate,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
44,1920-1945,carried out,terms_bigram,686,11478,18,105,2.6239,0.9148,1.7091,2.93,5.032379,carried out,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,carried out,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
46,1920-1945,bryan douglas,terms_bigram,686,11478,13,0,1.895,0.0,1.895,451.1397,5.001129,bryan douglas,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,bryan douglas,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
47,1920-1945,searl searl,terms_bigram,686,11478,13,0,1.895,0.0,1.895,451.1397,5.001129,searl searl,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,searl searl,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
48,1920-1945,fenichel otto,terms_bigram,686,11478,13,0,1.895,0.0,1.895,451.1397,5.001129,fenichel otto,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,fenichel otto,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
49,1920-1945,melitta schmideberg,terms_bigram,686,11478,13,2,1.895,0.0174,1.8776,90.2279,4.955144,melitta schmideberg,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,melitta schmideberg,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
50,1920-1945,anal erotism,terms_bigram,686,11478,13,3,1.895,0.0261,1.8689,64.4485,4.932152,anal erotism,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,anal erotism,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
