rank_within_group,journal_key,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
77,ijpa,1946-1969,very beginning,terms_bigram,1205,10959,17,33,1.4108,0.3011,1.1097,4.7474,3.207347
78,ijpa,1946-1969,symptom formation,terms_bigram,1205,10959,17,34,1.4108,0.3102,1.1005,4.6098,3.180973
79,ijpa,1946-1969,changes mental,terms_bigram,1205,10959,15,11,1.2448,0.1004,1.1444,12.2489,3.173059
80,ijpa,1946-1969,psycho-analytic training,terms_bigram,1205,10959,14,0,1.1618,0.0,1.1618,263.5489,3.146282
81,ijpa,1946-1969,competitors essay,terms_bigram,1205,10959,14,0,1.1618,0.0,1.1618,263.5489,3.146282
82,ijpa,1946-1969,competition following,terms_bigram,1205,10959,14,0,1.1618,0.0,1.1618,263.5489,3.146282
83,ijpa,1946-1969,relationshipcontributions discussion,terms_bigram,1205,10959,14,0,1.1618,0.0,1.1618,263.5489,3.146282
84,ijpa,1946-1969,parent-infant relationship-contributions,terms_bigram,1205,10959,14,0,1.1618,0.0,1.1618,263.5489,3.146282
85,ijpa,1946-1969,parent-infant relationshipcontributions,terms_bigram,1205,10959,14,0,1.1618,0.0,1.1618,263.5489,3.146282
86,ijpa,1946-1969,discussion parent-infant,terms_bigram,1205,10959,14,0,1.1618,0.0,1.1618,263.5489,3.146282
87,ijpa,1946-1969,relationship-contributions discussion,terms_bigram,1205,10959,14,0,1.1618,0.0,1.1618,263.5489,3.146282
88,ijpa,1946-1969,must bear,terms_bigram,1205,10959,15,14,1.2448,0.1277,1.1171,9.7146,3.09716
89,ijpa,1946-1969,wish enter,terms_bigram,1205,10959,14,2,1.1618,0.0182,1.1436,52.7098,3.096861
90,ijpa,1946-1969,secretary copies,terms_bigram,1205,10959,14,2,1.1618,0.0182,1.1436,52.7098,3.096861
91,ijpa,1946-1969,offered requirements,terms_bigram,1205,10959,14,2,1.1618,0.0182,1.1436,52.7098,3.096861
92,ijpa,1946-1969,submitted before,terms_bigram,1205,10959,14,3,1.1618,0.0274,1.1345,37.6498,3.07215
93,ijpa,1946-1969,sent hon,terms_bigram,1205,10959,14,3,1.1618,0.0274,1.1345,37.6498,3.07215
94,ijpa,1946-1969,essay merit,terms_bigram,1205,10959,14,4,1.1618,0.0365,1.1253,29.2832,3.047439
95,ijpa,1946-1969,trustees prize,terms_bigram,1205,10959,14,4,1.1618,0.0365,1.1253,29.2832,3.047439
96,ijpa,1946-1969,prize fund,terms_bigram,1205,10959,14,4,1.1618,0.0365,1.1253,29.2832,3.047439
97,ijpa,1946-1969,prize submitted,terms_bigram,1205,10959,14,4,1.1618,0.0365,1.1253,29.2832,3.047439
98,ijpa,1946-1969,fund award,terms_bigram,1205,10959,14,4,1.1618,0.0365,1.1253,29.2832,3.047439
99,ijpa,1946-1969,psycho-analysis cavendish,terms_bigram,1205,10959,14,4,1.1618,0.0365,1.1253,29.2832,3.047439
100,ijpa,1946-1969,defence mechanism,terms_bigram,1205,10959,15,16,1.2448,0.146,1.0988,8.5371,3.046561
1,ijpa,1970-1989,point view,terms_bigram,915,11249,55,338,6.0109,3.0047,3.0062,2.0137,12.101082
2,ijpa,1970-1989,buenos aires,terms_bigram,915,11249,39,165,4.2623,1.4668,2.7955,2.9313,10.312255
3,ijpa,1970-1989,projective identification,terms_bigram,915,11249,35,180,3.8251,1.6001,2.225,2.4155,7.973309
4,ijpa,1970-1989,object relations,terms_bigram,915,11249,54,441,5.9016,3.9203,1.9813,1.5161,7.939693
