term,source_table,term_col,journal_key,period,count,doc_count,doc_pct,keyness_score,pct_point_lift,candidate_review_status,suggested_semantic_family,manual_note,term_norm
san francisco,global_core_bigrams_after_audit,,,,693,456,3.7488,,,pending,,,san francisco
american association,global_core_bigrams_after_audit,,,,622,490,4.0283,,,pending,,,american association
mental health,global_core_bigrams_after_audit,,,,607,378,3.1075,,,pending,,,mental health
training supervising,global_core_bigrams_after_audit,,,,515,479,3.9378,,,pending,,,training supervising
oedipus complex,global_core_bigrams_after_audit,,,,502,241,1.9813,,,pending,,,oedipus complex
point view,global_core_bigrams_after_audit,,,,466,393,3.2308,,,pending,,,point view
acting out,global_core_bigrams_after_audit,,,,466,164,1.3482,,,pending,,,acting out
postdoctoral program,global_core_bigrams_after_audit,,,,444,387,3.1815,,,pending,,,postdoctoral program
projective identification,global_core_bigrams_after_audit,,,,422,215,1.7675,,,pending,,,projective identification
sigmund freud,global_core_bigrams_after_audit,,,,408,199,1.636,,,pending,,,sigmund freud
correspondence addressed,global_core_bigrams_after_audit,,,,408,408,3.3542,,,pending,,,correspondence addressed
anna freud,global_core_bigrams_after_audit,,,,381,193,1.5866,,,pending,,,anna freud
final version,global_core_bigrams_after_audit,,,,372,371,3.05,,,pending,,,final version
los angeles,global_core_bigrams_after_audit,,,,369,281,2.3101,,,pending,,,los angeles
version accepted,global_core_bigrams_after_audit,,,,363,363,2.9842,,,pending,,,version accepted
professor psychiatry,global_core_bigrams_after_audit,,,,362,336,2.7622,,,pending,,,professor psychiatry
therapeutic action,global_core_bigrams_after_audit,,,,355,180,1.4798,,,pending,,,therapeutic action
united states,global_core_bigrams_after_audit,,,,349,266,2.1868,,,pending,,,united states
personality disorder,global_core_bigrams_after_audit,,,,344,140,1.1509,,,pending,,,personality disorder
melanie klein,global_core_bigrams_after_audit,,,,342,183,1.5044,,,pending,,,melanie klein
psychic reality,global_core_bigrams_after_audit,,,,326,149,1.2249,,,pending,,,psychic reality
transference countertransference,global_core_bigrams_after_audit,,,,317,239,1.9648,,,pending,,,transference countertransference
ernest jones,global_core_bigrams_after_audit,,,,314,141,1.1592,,,pending,,,ernest jones
otto kernberg,global_core_bigrams_after_audit,,,,305,77,0.633,,,pending,,,otto kernberg
self psychology,global_core_bigrams_after_audit,,,,303,143,1.1756,,,pending,,,self psychology
buenos aires,global_core_bigrams_after_audit,,,,296,204,1.6771,,,pending,,,buenos aires
harold blum,global_core_bigrams_after_audit,,,,285,71,0.5837,,,pending,,,harold blum
international association,global_core_bigrams_after_audit,,,,259,219,1.8004,,,pending,,,international association
transference neurosis,global_core_bigrams_after_audit,,,,259,130,1.0687,,,pending,,,transference neurosis
robert wallerstein,global_core_bigrams_after_audit,,,,257,70,0.5755,,,pending,,,robert wallerstein
accepted publication,global_core_bigrams_after_audit,,,,255,249,2.047,,,pending,,,accepted publication
borderline personality,global_core_bigrams_after_audit,,,,245,106,0.8714,,,pending,,,borderline personality
associate professor,global_core_bigrams_after_audit,,,,230,223,1.8333,,,pending,,,associate professor
professor psychology,global_core_bigrams_after_audit,,,,226,213,1.7511,,,pending,,,professor psychology
mental life,global_core_bigrams_after_audit,,,,223,185,1.5209,,,pending,,,mental life
personality disorders,global_core_bigrams_after_audit,,,,223,119,0.9783,,,pending,,,personality disorders
faculty member,global_core_bigrams_after_audit,,,,222,186,1.5291,,,pending,,,faculty member
ego psychology,global_core_bigrams_after_audit,,,,220,131,1.0769,,,pending,,,ego psychology
thomas ogden,global_core_bigrams_after_audit,,,,220,61,0.5015,,,pending,,,thomas ogden
