rank_within_group,journal_key,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
6,psychoanalytic_dialogues,editor dialogues,terms_bigram,1578,10586,137,3,8.6819,0.0283,8.6535,263.4059,42.638169
7,psychoanalytic_dialogues,san francisco,terms_bigram,1578,10586,167,289,10.583,2.73,7.853,3.8793,40.238467
8,psychoanalytic_dialogues,stephen mitchell,terms_bigram,1578,10586,127,8,8.0482,0.0756,7.9726,100.5731,38.683251
9,psychoanalytic_dialogues,professor psychology,terms_bigram,1578,10586,134,79,8.4918,0.7463,7.7455,11.3435,37.993772
10,psychoanalytic_dialogues,international association,terms_bigram,1578,10586,131,88,8.3016,0.8313,7.4704,9.9626,36.476293
11,psychoanalytic_dialogues,associate editor,terms_bigram,1578,10586,122,19,7.7313,0.1795,7.5518,42.1204,36.340765
12,psychoanalytic_dialogues,nyu postdoctoral,terms_bigram,1578,10586,115,25,7.2877,0.2362,7.0515,30.3691,33.520155
13,psychoanalytic_dialogues,gender sexuality,terms_bigram,1578,10586,104,16,6.5906,0.1511,6.4395,42.4642,29.969075
14,psychoanalytic_dialogues,associate professor,terms_bigram,1578,10586,110,113,6.9708,1.0674,5.9034,6.5277,27.802248
15,psychoanalytic_dialogues,alanson white,terms_bigram,1578,10586,97,25,6.147,0.2362,5.9109,25.6363,27.101104
16,psychoanalytic_dialogues,mitchell center,terms_bigram,1578,10586,93,0,5.8935,0.0,5.8935,1253.8119,26.776072
17,psychoanalytic_dialogues,william alanson,terms_bigram,1578,10586,95,25,6.0203,0.2362,5.7841,25.1104,26.400728
18,psychoanalytic_dialogues,center relational,terms_bigram,1578,10586,86,0,5.4499,0.0,5.4499,1159.9436,24.338916
19,psychoanalytic_dialogues,faculty supervisor,terms_bigram,1578,10586,84,13,5.3232,0.1228,5.2004,41.9676,23.10352
20,psychoanalytic_dialogues,studies gender,terms_bigram,1578,10586,82,5,5.1965,0.0472,5.1492,100.5731,22.753578
21,psychoanalytic_dialogues,association relational,terms_bigram,1578,10586,78,3,4.943,0.0283,4.9146,150.3808,21.474204
22,psychoanalytic_dialogues,relational studies,terms_bigram,1578,10586,73,0,4.6261,0.0,4.6261,985.6168,19.911074
23,psychoanalytic_dialogues,self psychology,terms_bigram,1578,10586,78,65,4.943,0.614,4.3289,8.0356,18.915109
24,psychoanalytic_dialogues,west suite,terms_bigram,1578,10586,68,45,4.3093,0.4251,3.8842,10.0942,16.445958
25,psychoanalytic_dialogues,supervising faculty,terms_bigram,1578,10586,64,16,4.0558,0.1511,3.9046,26.21,16.299412
26,psychoanalytic_dialogues,harvard medical,terms_bigram,1578,10586,69,61,4.3726,0.5762,3.7964,7.5771,16.128948
27,psychoanalytic_dialogues,editorial board,terms_bigram,1578,10586,64,36,4.0558,0.3401,3.7157,11.8483,15.51075
28,psychoanalytic_dialogues,psychological association,terms_bigram,1578,10586,61,37,3.8657,0.3495,3.5161,10.996,14.51156
29,psychoanalytic_dialogues,american psychological,terms_bigram,1578,10586,60,32,3.8023,0.3023,3.5,12.4814,14.388039
30,psychoanalytic_dialogues,professor psychiatry,terms_bigram,1578,10586,87,249,5.5133,2.3522,3.1611,2.3514,14.15351
31,psychoanalytic_dialogues,training program,terms_bigram,1578,10586,55,23,3.4854,0.2173,3.2682,15.8349,13.155479
32,psychoanalytic_dialogues,board member,terms_bigram,1578,10586,52,9,3.2953,0.085,3.2103,37.0533,12.745799
33,psychoanalytic_dialogues,faculty supervising,terms_bigram,1578,10586,51,5,3.2319,0.0472,3.1847,62.782,12.583553
34,psychoanalytic_dialogues,assistant professor,terms_bigram,1578,10586,59,72,3.7389,0.6801,3.0588,5.5026,12.523644
35,psychoanalytic_dialogues,program faculty,terms_bigram,1578,10586,50,5,3.1686,0.0472,3.1213,61.563,12.272547
36,psychoanalytic_dialogues,lewis aron,terms_bigram,1578,10586,48,8,3.0418,0.0756,2.9663,38.2572,11.544126
37,psychoanalytic_dialogues,adjunct professor,terms_bigram,1578,10586,48,13,3.0418,0.1228,2.919,24.0879,11.360307
38,psychoanalytic_dialogues,member international,terms_bigram,1578,10586,47,9,2.9785,0.085,2.8934,33.5244,11.201072
