rank_within_group,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
27,1946-1969,behaviour,terms_unigram,1743,10421,204,263,11.704,2.5238,9.1802,4.6379,48.866342
28,1946-1969,mother,terms_unigram,1743,10421,275,754,15.7774,7.2354,8.542,2.1821,48.009494
29,1946-1969,form,terms_unigram,1743,10421,306,963,17.5559,9.241,8.315,1.901,47.618638
30,1946-1969,point,terms_unigram,1743,10421,308,1004,17.6707,9.6344,8.0363,1.8353,46.074797
31,1946-1969,nature,terms_unigram,1743,10421,319,1075,18.3018,10.3157,7.9861,1.7753,46.066215
32,1946-1969,anxiety,terms_unigram,1743,10421,258,684,14.8021,6.5637,8.2384,2.2568,45.779349
33,1946-1969,against,terms_unigram,1743,10421,277,822,15.8921,7.8879,8.0042,2.0162,45.044725
34,1946-1969,problems,terms_unigram,1743,10421,269,796,15.4332,7.6384,7.7947,2.022,43.638237
35,1946-1969,man,terms_unigram,1743,10421,232,575,13.3104,5.5177,7.7927,2.4142,42.478197
36,1946-1969,here,terms_unigram,1743,10421,274,854,15.72,8.195,7.525,1.9197,42.266383
37,1946-1969,attempt,terms_unigram,1743,10421,250,700,14.3431,6.7172,7.6259,2.137,42.136447
38,1946-1969,normal,terms_unigram,1743,10421,197,365,11.3024,3.5025,7.7998,3.2291,41.247474
39,1946-1969,well,terms_unigram,1743,10421,420,1800,24.0964,17.2728,6.8236,1.3957,41.232334
40,1946-1969,like,terms_unigram,1743,10421,296,1016,16.9822,9.7495,7.2327,1.7431,41.180888
41,1946-1969,described,terms_unigram,1743,10421,285,948,16.3511,9.097,7.2541,1.7988,41.029148
42,1946-1969,character,terms_unigram,1743,10421,213,483,12.2203,4.6349,7.5854,2.6388,40.703278
43,1946-1969,become,terms_unigram,1743,10421,285,969,16.3511,9.2985,7.0526,1.7598,39.889374
44,1946-1969,far,terms_unigram,1743,10421,206,457,11.8187,4.3854,7.4333,2.6973,39.639846
45,1946-1969,though,terms_unigram,1743,10421,211,491,12.1056,4.7116,7.3939,2.5715,39.606198
46,1946-1969,wish,terms_unigram,1743,10421,196,393,11.245,3.7712,7.4737,2.9842,39.485337
47,1946-1969,instinctual,terms_unigram,1743,10421,165,186,9.4664,1.7849,7.6816,5.303,39.268142
48,1946-1969,seems,terms_unigram,1743,10421,214,520,12.2777,4.9899,7.2878,2.4627,39.13991
49,1946-1969,situation,terms_unigram,1743,10421,268,883,15.3758,8.4733,6.9025,1.8161,38.617572
50,1946-1969,observations,terms_unigram,1743,10421,195,424,11.1876,4.0687,7.1189,2.7522,37.574371
51,1946-1969,following,terms_unigram,1743,10421,248,784,14.2283,7.5233,6.7051,1.8929,36.994917
52,1946-1969,result,terms_unigram,1743,10421,209,534,11.9908,5.1243,6.8666,2.3423,36.716193
53,1946-1969,neurosis,terms_unigram,1743,10421,176,315,10.0975,3.0227,7.0748,3.3431,36.620175
54,1946-1969,special,terms_unigram,1743,10421,209,538,11.9908,5.1627,6.8282,2.3249,36.510949
55,1946-1969,number,terms_unigram,1743,10421,213,568,12.2203,5.4505,6.7698,2.2443,36.326462
56,1946-1969,neurotic,terms_unigram,1743,10421,175,318,10.0402,3.0515,6.9886,3.2929,36.1346
57,1946-1969,present,terms_unigram,1743,10421,333,1345,19.105,12.9066,6.1984,1.4812,36.019547
58,1946-1969,submitted,terms_unigram,1743,10421,165,258,9.4664,2.4758,6.9907,3.826,35.736205
59,1946-1969,phenomena,terms_unigram,1743,10421,211,575,12.1056,5.5177,6.5879,2.1962,35.288443
60,1946-1969,give,terms_unigram,1743,10421,190,457,10.9007,4.3854,6.5154,2.4883,34.220506
61,1946-1969,reality,terms_unigram,1743,10421,262,929,15.0316,8.9147,6.1169,1.6877,34.084105
62,1946-1969,personality,terms_unigram,1743,10421,240,792,13.7694,7.6,6.1693,1.8135,33.837494
63,1946-1969,period,terms_unigram,1743,10421,186,440,10.6713,4.2222,6.449,2.5301,33.735487
64,1946-1969,child,terms_unigram,1743,10421,286,1090,16.4085,10.4596,5.9488,1.57,33.667367
65,1946-1969,after,terms_unigram,1743,10421,305,1211,17.4986,11.6208,5.8778,1.5069,33.642088
