journal_key,period,semantic_family,n_articles_initial,pct_articles_group_initial,n_articles_group_initial,n_articles_refined,pct_articles_group_refined,n_articles_group_refined,delta_pct_refined_minus_initial,absolute_pct_drop,relative_retention_pct
psychoanalytic_psychology,1970-1989,language_narrative_symbolization,23,18.6992,123,16.0,13.0081,123.0,-5.6911,5.6911,69.57
psychoanalytic_psychology,1970-1989,culture_race_social_ethics,16,13.0081,123,7.0,5.6911,123.0,-7.317,7.317,43.75
psychoanalytic_psychology,1970-1989,empirical_research_measurement,24,19.5122,123,19.0,15.4472,123.0,-4.065,4.065,79.17
psychoanalytic_psychology,1970-1989,history_theory_schools,25,20.3252,123,3.0,2.439,123.0,-17.8862,17.8862,12.0
psychoanalytic_psychology,1990-2009,drive_conflict_defense,204,32.7974,622,204.0,32.7974,622.0,0.0,0.0,100.0
psychoanalytic_psychology,1990-2009,dream_fantasy_unconscious,162,26.045,622,97.0,15.5949,622.0,-10.4501,10.4501,59.88
psychoanalytic_psychology,1990-2009,ego_self_narcissism,267,42.926,622,132.0,21.2219,622.0,-21.7041,21.7041,49.44
psychoanalytic_psychology,1990-2009,object_relations,149,23.955,622,118.0,18.9711,622.0,-4.9839,4.9839,79.19
psychoanalytic_psychology,1990-2009,kleinian_bionian,7,1.1254,622,7.0,1.1254,622.0,0.0,0.0,100.0
psychoanalytic_psychology,1990-2009,winnicottian_environment_holding,73,11.7363,622,10.0,1.6077,622.0,-10.1286,10.1286,13.7
psychoanalytic_psychology,1990-2009,attachment_development_infant,228,36.6559,622,131.0,21.0611,622.0,-15.5948,15.5948,57.46
psychoanalytic_psychology,1990-2009,transference_countertransference,117,18.8103,622,117.0,18.8103,622.0,0.0,0.0,100.0
psychoanalytic_psychology,1990-2009,technique_interpretation_process,138,22.1865,622,117.0,18.8103,622.0,-3.3762,3.3762,84.78
psychoanalytic_psychology,1990-2009,relational_intersubjective_field,260,41.8006,622,194.0,31.1897,622.0,-10.6109,10.6109,74.62
psychoanalytic_psychology,1990-2009,trauma_dissociation_affect_regulation,222,35.6913,622,114.0,18.328,622.0,-17.3633,17.3633,51.35
psychoanalytic_psychology,1990-2009,psychosis_borderline_primitive_states,36,5.7878,622,29.0,4.6624,622.0,-1.1254,1.1254,80.56
psychoanalytic_psychology,1990-2009,body_sexuality_gender,121,19.4534,622,101.0,16.2379,622.0,-3.2155,3.2155,83.47
psychoanalytic_psychology,1990-2009,language_narrative_symbolization,108,17.3633,622,77.0,12.3794,622.0,-4.9839,4.9839,71.3
