journal_key,period,semantic_family,n_articles,n_family_hits,total_terms_hit,n_articles_group,pct_articles_group
psychoanalytic_psychotherapy,2010-2025,ego_self_narcissism,115,115,151,432,26.6204
psychoanalytic_psychotherapy,2010-2025,object_relations,80,80,148,432,18.5185
psychoanalytic_psychotherapy,2010-2025,kleinian_bionian,32,32,51,432,7.4074
psychoanalytic_psychotherapy,2010-2025,winnicottian_environment_holding,35,35,36,432,8.1019
psychoanalytic_psychotherapy,2010-2025,attachment_development_infant,154,154,264,432,35.6481
psychoanalytic_psychotherapy,2010-2025,transference_countertransference,52,52,69,432,12.037
psychoanalytic_psychotherapy,2010-2025,technique_interpretation_process,96,96,119,432,22.2222
psychoanalytic_psychotherapy,2010-2025,relational_intersubjective_field,171,171,307,432,39.5833
psychoanalytic_psychotherapy,2010-2025,trauma_dissociation_affect_regulation,161,161,215,432,37.2685
psychoanalytic_psychotherapy,2010-2025,psychosis_borderline_primitive_states,58,58,77,432,13.4259
psychoanalytic_psychotherapy,2010-2025,body_sexuality_gender,66,66,101,432,15.2778
psychoanalytic_psychotherapy,2010-2025,language_narrative_symbolization,53,53,61,432,12.2685
psychoanalytic_psychotherapy,2010-2025,culture_race_social_ethics,145,145,219,432,33.5648
psychoanalytic_psychotherapy,2010-2025,empirical_research_measurement,142,142,308,432,32.8704
psychoanalytic_psychotherapy,2010-2025,history_theory_schools,37,37,58,432,8.5648
